code,swiss-ai/Apertus-v1.1-4B_max,swiss-ai/Apertus-v1.1-4B_mean,avg
afr_Latn,0.8544,0.4117,0.8544
hin_Latn,0.0485,0.0093,0.0485
srp_Cyrl,0.8252,0.3511,0.8252
arz_Arab,0.6214,0.2691,0.6214
mkd_Cyrl,0.8738,0.3922,0.8738
wol_Latn,0.0097,0.0023,0.0097
tur_Latn,0.7184,0.2676,0.7184
deu_Latn,0.5825,0.2283,0.5825
ceb_Latn,0.165,0.0326,0.165
mya_Mymr,0.1165,0.0256,0.1165
eus_Latn,0.0583,0.0117,0.0583
ary_Arab,0.0291,0.005,0.0291
guj_Gujr,0.2816,0.0788,0.2816
slv_Latn,0.8155,0.3542,0.8155
zul_Latn,0.0291,0.0066,0.0291
hrv_Latn,0.8252,0.3449,0.8252
kac_Latn,0.0,0.0,0.0
cat_Latn,0.8058,0.3297,0.8058
bam_Latn,0.0097,0.0047,0.0097
yor_Latn,0.0,0.0,0.0
heb_Hebr,0.5437,0.2082,0.5437
mlt_Latn,0.233,0.0753,0.233
tso_Latn,0.0194,0.0078,0.0194
ben_Beng,0.3883,0.1052,0.3883
xho_Latn,0.0097,0.0054,0.0097
tsn_Latn,0.0291,0.0054,0.0291
sin_Sinh,0.0097,0.0023,0.0097
swh_Latn,0.301,0.092,0.301
sun_Latn,0.0777,0.0214,0.0777
ssw_Latn,0.0194,0.0039,0.0194
jav_Latn,0.0971,0.0206,0.0971
spa_Latn,0.767,0.3852,0.767
som_Latn,0.0388,0.0085,0.0388
mri_Latn,0.0388,0.0062,0.0388
dan_Latn,0.9515,0.5173,0.9515
ckb_Arab,0.0194,0.0043,0.0194
lin_Latn,0.0194,0.0066,0.0194
fra_Latn,0.9612,0.5732,0.9612
por_Latn,0.8932,0.4866,0.8932
vie_Latn,0.8252,0.3682,0.8252
urd_Latn,0.068,0.0151,0.068
mar_Deva,0.3495,0.0905,0.3495
tgl_Latn,0.4078,0.1309,0.4078
eng_Latn,1.0,1.0,1.0
swe_Latn,0.9223,0.4765,0.9223
nld_Latn,0.8835,0.4847,0.8835
nso_Latn,0.0194,0.005,0.0194
npi_Deva,0.4272,0.1219,0.4272
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.2816,0.0594,0.2816
urd_Arab,0.301,0.0819,0.301
hau_Latn,0.0097,0.0023,0.0097
ell_Grek,0.7476,0.353,0.7476
kat_Geor,0.5049,0.1643,0.5049
tha_Thai,0.4078,0.1118,0.4078
tam_Taml,0.3883,0.108,0.3883
hat_Latn,0.2136,0.054,0.2136
ces_Latn,0.8932,0.4528,0.8932
ita_Latn,0.9126,0.553,0.9126
ron_Latn,0.835,0.405,0.835
pes_Arab,0.7184,0.2567,0.7184
hin_Deva,0.7184,0.2555,0.7184
kir_Cyrl,0.2427,0.0509,0.2427
lit_Latn,0.6505,0.2517,0.6505
sot_Latn,0.0194,0.0082,0.0194
war_Latn,0.0971,0.0183,0.0971
luo_Latn,0.0097,0.0027,0.0097
tel_Telu,0.3107,0.0812,0.3107
pan_Guru,0.1942,0.047,0.1942
tir_Ethi,0.0,0.0,0.0
amh_Ethi,0.0097,0.0004,0.0097
ilo_Latn,0.0291,0.0101,0.0291
ind_Latn,0.8932,0.5002,0.8932
ory_Orya,0.0194,0.0012,0.0194
pol_Latn,0.9029,0.447,0.9029
khm_Khmr,0.0291,0.0043,0.0291
hye_Armn,0.5631,0.2113,0.5631
bul_Cyrl,0.8641,0.4062,0.8641
plt_Latn,0.1068,0.0214,0.1068
mal_Mlym,0.2816,0.0854,0.2816
fuv_Latn,0.0097,0.0008,0.0097
ibo_Latn,0.0388,0.0097,0.0388
kan_Knda,0.2427,0.0656,0.2427
kor_Hang,0.7961,0.3181,0.7961
hun_Latn,0.9223,0.4474,0.9223
sna_Latn,0.0194,0.0078,0.0194
nob_Latn,0.9417,0.5522,0.9417
arb_Arab,0.6311,0.2602,0.6311
slk_Latn,0.8155,0.3631,0.8155
lug_Latn,0.0097,0.0019,0.0097
ukr_Cyrl,0.8155,0.3872,0.8155
snd_Arab,0.0971,0.019,0.0971
isl_Latn,0.5922,0.2054,0.5922
fin_Latn,0.8155,0.3616,0.8155
asm_Beng,0.1165,0.0303,0.1165
nya_Latn,0.0194,0.0066,0.0194
rus_Cyrl,0.9806,0.6652,0.9806
tgk_Cyrl,0.1748,0.0419,0.1748
kin_Latn,0.0291,0.0089,0.0291
zsm_Latn,0.1359,0.0272,0.1359
est_Latn,0.7184,0.3103,0.7184
